"Gene","logFC","AveExpr","PValue","adj.P.Val","t","B","Regulation","Significance","Biologically_Relevant"
"MT3",13.2941340504154,9.29412963525613,9.12165043723869e-44,6.25258731971255e-40,36.2902998652439,88.3169690670543,"UPREGULATED","SIGNIFICANT","YES"
"PMP2",12.0474921594576,10.2072527276277,1.23371640884235e-42,4.22835737190568e-39,34.7411848713603,85.8924063727609,"UPREGULATED","SIGNIFICANT","YES"
"GFAP",11.1198961073011,14.58980572987,2.82698877677488e-41,7.26677465069982e-38,32.9576495536337,82.9559868477928,"UPREGULATED","SIGNIFICANT","YES"
"MIR9-1HG",10.2364018727518,11.3595070405551,1.0492122240385e-38,1.54114286965197e-35,29.8089923806226,77.3520809019513,"UPREGULATED","SIGNIFICANT","YES"
"AQP4",8.99126101460889,12.1202177551482,6.45049401057127e-33,2.70710120068138e-30,23.6468414449731,64.5090914680075,"UPREGULATED","SIGNIFICANT","YES"
"C2orf80",8.8420966657589,5.54636066082091,8.55464665865855e-33,3.44936772330695e-30,23.5287371606602,64.2343938915316,"UPREGULATED","SIGNIFICANT","YES"
"SCRG1",6.69414623375364,9.88955349390456,3.49523873571452e-31,9.71298504881532e-29,22.0196450503766,60.61591490975,"UPREGULATED","SIGNIFICANT","YES"
"LINC01114",6.49283693862305,5.83074276977461,5.52788578813247e-28,8.74426487285816e-26,19.2438359356546,53.3903223479218,"UPREGULATED","SIGNIFICANT","YES"
"HEPACAM",4.79707715531215,10.3068474183313,4.33423016652583e-18,1.02920449358472e-16,12.1306646781885,30.8159161587418,"UPREGULATED","SIGNIFICANT","YES"
"HNRNPCL1",3.31411801469027,2.4619574376175,1.45979348884972e-21,6.16410540137694e-20,14.4155494230718,38.7653447454251,"UPREGULATED","SIGNIFICANT","YES"
"SETSIP",2.73914842269137,3.58664235657275,7.91194788644015e-17,1.56896139186842e-15,11.3442471891637,27.9251211599593,"UPREGULATED","SIGNIFICANT","YES"
"EIF3CL",2.57484667820613,6.357197485891,5.90540428748584e-16,1.00612041232692e-14,10.8113394320336,25.9240934102038,"UPREGULATED","SIGNIFICANT","YES"
"NACA2",2.47707780986493,4.83546408533217,4.73599292611593e-14,5.8882078919376e-13,9.67608251920943,21.5598357467171,"UPREGULATED","SIGNIFICANT","YES"
"FKBP1C",2.35755197896006,6.22474988034178,5.44702600721209e-11,4.1655873117259e-10,7.9043281435555,14.5543858999226,"UPREGULATED","SIGNIFICANT","YES"
"H3-5",2.15510686717091,5.44768084497765,3.57028302644678e-12,3.29530072512799e-11,8.58433802535603,17.2607320195779,"UPREGULATED","SIGNIFICANT","YES"
"CSNK2A3",2.10378487834304,4.26757572036105,3.11110257144118e-11,2.479717568958e-10,8.04382137949823,15.1103096932123,"UPREGULATED","SIGNIFICANT","YES"
"PPIAL4G",2.05279348615774,1.49258014630275,4.46945272886351e-14,5.58722345996043e-13,9.69087168832037,21.6174787910974,"UPREGULATED","SIGNIFICANT","YES"
"LINC02172",2.04694154329812,4.08704237730912,1.15383227647107e-07,5.15589025061952e-07,5.98321763992827,6.98170595375047,"UPREGULATED","SIGNIFICANT","YES"
"SCHIP1",1.97201864613671,7.59346506285104,1.07665323546774e-10,7.84282576484543e-10,7.73471759458367,13.8783566751351,"UPREGULATED","SIGNIFICANT","YES"
"HNRNPA1P48",1.19417173061583,8.175681823704,4.12050079108423e-07,1.67359230234754e-06,5.65508342858569,5.73104724332813,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
