"Gene","logFC","AveExpr","PValue","adj.P.Val","t","B","Regulation","Significance","Biologically_Relevant"
"KCNJ9",-3.7440948181151,10.2752690551027,8.89784559333783e-99,1.766766042551e-97,-28.2748277234951,214.739949234331,"DOWNREGULATED","SIGNIFICANT","YES"
"SLC1A2",-2.09497887903767,14.4943577753762,8.95259127756141e-37,2.75543600162118e-36,-14.0076803535573,72.1736184485557,"DOWNREGULATED","SIGNIFICANT","YES"
"LHFPL3",2.04583227209164,8.34240239758968,2.88210913490501e-26,6.84857840587861e-26,11.3717758053104,48.0894441331754,"UPREGULATED","SIGNIFICANT","YES"
"RFX4",1.89833175366765,10.3888455320381,4.72305254544104e-43,1.69600013041556e-42,15.4957664870203,86.584252723541,"UPREGULATED","SIGNIFICANT","YES"
"PMP2",1.65222934201729,13.5470343118408,3.08744144693544e-40,1.02929473764849e-39,14.8339850802268,80.1200219859125,"UPREGULATED","SIGNIFICANT","YES"
"GFAP",1.57625781121098,17.6752474303941,9.15065389237252e-29,2.32271049287242e-28,12.021271840515,53.8099355341431,"UPREGULATED","SIGNIFICANT","YES"
"AMER2",-1.5199762563874,11.4610541036224,8.26625753197379e-34,2.37083200981095e-33,-13.2863544282361,65.37133196123,"DOWNREGULATED","SIGNIFICANT","YES"
"NCAN",1.44059436938518,12.4654380127595,2.68355954256873e-19,5.34783072442924e-19,9.44211442624488,32.161213260421,"UPREGULATED","SIGNIFICANT","YES"
"SLC6A1",-1.35245845883877,11.92736856945,1.49912649152883e-27,3.68064844426784e-27,-11.7077607823753,51.0287032792445,"DOWNREGULATED","SIGNIFICANT","YES"
"OLIG2",1.30344955785201,10.9973280157988,4.62552165068742e-21,9.6325723405061e-21,9.95063168411061,36.1868432536479,"UPREGULATED","SIGNIFICANT","YES"
"MLC1",0.86370550808403,13.208153473226,2.90273326556544e-11,4.63752918263128e-11,6.83715432333773,13.9007591345287,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"GPR37L1",0.625029542457124,12.0987111781904,1.71842812850873e-06,2.35106236007345e-06,4.85376868127216,3.19211973602629,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"CACNG7",-0.592374214900406,11.4040996968459,2.09904647661587e-07,2.96343471782716e-07,-5.27906889112772,5.22461192619282,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"GPM6A",0.490968798196928,14.2836400756015,7.70978872236349e-06,1.03046094811617e-05,4.53038113240683,1.74881591832313,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"CDH20",-0.379170551688589,9.60782388922477,0.00118885859062238,0.0014534181014239,-3.26417243941198,-3.01573654956728,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"TTYH1",0.344442725450488,13.3566290525688,0.00481430184817963,0.00571165611250488,2.83448879829091,-4.29938269234232,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"OLIG1",0.308706176796846,12.38860082554,0.0211182613405178,0.0242418420622095,2.31467774231065,-5.61875576411174,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"CTNND2",0.13857612340625,13.0517964828862,0.167613412863758,0.181537646495202,1.38233354976274,-7.33027794625546,"NO SIGNIFICANT CHANGE","NOT SIGNIFICANT","NO"
"APC2",-0.12593703160636,12.6306686014211,0.282094596023746,0.300076761226105,-1.07702655989814,-7.70499034269613,"NO SIGNIFICANT CHANGE","NOT SIGNIFICANT","NO"
