"Gene","logFC","AveExpr","PValue","adj.P.Val","t","B","Regulation","Significance","Biologically_Relevant"
"CHI3L1",5.61538236887782,12.2550958097403,2.60164708155674e-91,3.84847657619806e-90,26.5137225036492,197.560383292971,"UPREGULATED","SIGNIFICANT","YES"
"FBXL16",-4.27666933311042,12.8356932256057,1.16749841891259e-97,2.20794553929646e-96,-28.0089789968742,212.167417688102,"DOWNREGULATED","SIGNIFICANT","YES"
"PRKCZ",-2.82298023604538,10.8407632752307,1.44599488923967e-72,1.138005509055e-71,-22.2091632035112,154.432823887437,"DOWNREGULATED","SIGNIFICANT","YES"
"IGFBP7-AS1",2.14734708530163,4.78548918269838,3.08613581990089e-24,6.95133864598828e-24,10.8299063671205,43.4453348856949,"UPREGULATED","SIGNIFICANT","YES"
"CDK2AP1",1.95932130155274,12.6108070587644,1.53980731342613e-98,3.01780264714987e-97,28.2181226938748,214.191876460049,"UPREGULATED","SIGNIFICANT","YES"
"OSTM1",1.63118420019619,9.82824661521818,4.41841062870741e-76,3.89637547739033e-75,23.0069088520657,162.518726068673,"UPREGULATED","SIGNIFICANT","YES"
"NFIB",1.56232171879419,11.1698329648066,1.45427710963976e-66,9.50263968225369e-66,20.8522647430922,140.626101054053,"UPREGULATED","SIGNIFICANT","YES"
"PDE4B",1.55245201987062,11.3630266710152,7.69319241089473e-56,3.78781309627973e-55,18.4301882092958,115.968188834778,"UPREGULATED","SIGNIFICANT","YES"
"LINC01558",1.46522500226073,2.03357199730946,1.16911989434636e-27,2.87954134694713e-27,11.7358000931387,51.2759613795629,"UPREGULATED","SIGNIFICANT","YES"
"SETBP1",1.1087279432531,8.86000555757224,4.42759942930727e-28,1.103922798062e-27,11.8449919744119,52.2416531540687,"UPREGULATED","SIGNIFICANT","YES"
"SDK1",0.993737459428938,7.99366794045472,2.45034935519733e-13,4.15695564519021e-13,7.56953907112777,18.5964933503279,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"FOXK1",0.697569736880016,10.6495286193835,1.06400118216809e-15,1.93124202560371e-15,8.34580932503368,23.9630737666148,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"C19orf25",0.664784553417347,10.0709441255867,3.95092736618444e-18,7.65292756912319e-18,9.09575554827216,29.4975536247737,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"LIMCH1",-0.520577319450981,11.7862711806332,5.99527921262232e-11,9.48752856912914e-11,-6.7207229048922,13.1890070871859,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"ACOT7",-0.494169451164002,10.8950252344683,5.11415345865273e-05,6.62699732758529e-05,-4.09324992849857,-0.0581146017279934,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"LINC01572",0.389809156873047,4.66624861822052,8.01734023825059e-05,0.000103129326355738,3.98359551345557,-0.48493545449692,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"FBXL18",0.331918675264593,7.81523910462703,0.00369310329435305,0.00440586115027016,2.91984258242773,-4.05818625149846,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"ZFPM1",0.153265380852806,7.84311612655209,0.0546584126357466,0.0612869741500068,1.92703334537952,-6.43344654479553,"NO SIGNIFICANT CHANGE","NOT SIGNIFICANT","NO"
"APC2",-0.12593703160636,12.6306686014211,0.282094596023746,0.300076761226105,-1.07702655989814,-7.70499034269613,"NO SIGNIFICANT CHANGE","NOT SIGNIFICANT","NO"
