"Gene","logFC","AveExpr","PValue","adj.P.Val","t","B","Regulation","Significance","Biologically_Relevant"
"LHFPL3",3.75333797106624,10.0967418635171,4.10842773658109e-131,1.9423925157963e-130,29.9510378441781,288.678092264111,"UPREGULATED","SIGNIFICANT","YES"
"OLIG2",3.40093479192711,12.7871166666667,8.50162270655773e-174,7.03398146644691e-173,37.1865739693546,386.907608896121,"UPREGULATED","SIGNIFICANT","YES"
"NCAN",2.91626404870434,13.8844695538058,2.95894337683371e-119,1.23669911585617e-118,27.9788062348487,261.394344797832,"UPREGULATED","SIGNIFICANT","YES"
"PMP2",2.57570828952374,14.6563459317585,7.83301493913828e-154,4.82609667138431e-153,33.7653031802277,340.961618669794,"UPREGULATED","SIGNIFICANT","YES"
"RFX4",2.46489254913531,11.3295272965879,3.40462083147734e-139,1.74899873995795e-138,31.3007256039333,307.275088963953,"UPREGULATED","SIGNIFICANT","YES"
"GFAP",2.44605122187967,18.7188535433071,1.01423623654286e-92,3.37128130223288e-92,23.5548196629914,200.352094317736,"UPREGULATED","SIGNIFICANT","YES"
"OLIG1",2.33226795235173,13.8415767716535,1.20480842208914e-98,4.20727410017127e-98,24.5484903869916,213.980462261981,"UPREGULATED","SIGNIFICANT","YES"
"CDH20",2.17248320585197,11.2094225721785,6.6223575140142e-135,3.2534580147682e-134,30.58368420808,297.405462883439,"UPREGULATED","SIGNIFICANT","YES"
"APC2",1.74620079983226,13.8523230971129,1.527499112205e-127,6.91505744716141e-127,29.3564688642771,280.462611872143,"UPREGULATED","SIGNIFICANT","YES"
"MLC1",1.70416190934716,14.0310404199475,9.98083494870963e-71,2.75887313781046e-70,19.7891746321922,149.784694792182,"UPREGULATED","SIGNIFICANT","YES"
"GPM6A",1.6340820969583,15.2026700787402,2.94068150750563e-109,1.12406699647117e-108,26.3176508025078,238.393323149074,"UPREGULATED","SIGNIFICANT","YES"
"GPR37L1",1.62300162451369,12.9592887139108,3.01605030546532e-65,7.94577040672407e-65,18.8202104190623,137.190296720084,"UPREGULATED","SIGNIFICANT","YES"
"CTNND2",1.50336739479875,14.0136498687664,1.65035124164772e-127,7.46787623957395e-127,29.3508779862189,280.385307946761,"UPREGULATED","SIGNIFICANT","YES"
"AMER2",1.40157231570854,12.972851312336,1.93423762603685e-69,5.28975682330846e-69,19.5630209765539,146.825934026517,"UPREGULATED","SIGNIFICANT","YES"
"TTYH1",1.33575161014777,14.1300975065617,1.54875364266489e-58,3.84323159501772e-58,17.6081414814289,121.773285296214,"UPREGULATED","SIGNIFICANT","YES"
"SLC6A1",0.886270352625076,13.040906824147,5.33942498472945e-28,9.59466909925271e-28,11.4186707748034,51.7393027464914,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"CACNG7",0.844873847037899,12.2003619422572,3.05872007434662e-40,6.34270524733634e-40,14.0856989003717,79.7799180428946,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"KCNJ9",-0.541710417232887,11.3274496062992,2.25441659421171e-08,2.92186470495055e-08,-5.65061314045675,7.13462772829268,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"SLC1A2",0.0308201153932763,15.3182409448819,0.776857841078522,0.785911826772554,0.2835160330364,-8.48052549903432,"NO SIGNIFICANT CHANGE","NOT SIGNIFICANT","NO"
