"Gene","logFC","AveExpr","PValue","adj.P.Val","t","B","Regulation","Significance","Biologically_Relevant"
"ZNF827",2.41235423328699,10.6350003937008,7.23628263984467e-215,1.40836324715644e-213,44.5408124075314,481.424041813885,"UPREGULATED","SIGNIFICANT","YES"
"CMTM7",2.30305335269496,7.20823910761155,1.72124078755101e-115,6.96404532781825e-115,27.3534371392465,252.732492659186,"UPREGULATED","SIGNIFICANT","YES"
"CYBA",2.20301839769523,9.68448188976378,4.44661790899153e-107,1.66719361585921e-106,25.9550516936048,233.379102226152,"UPREGULATED","SIGNIFICANT","YES"
"CUEDC1",2.1002224318007,11.5354985564304,5.01043541155216e-224,1.25079735610819e-222,46.2535518178851,502.501919923144,"UPREGULATED","SIGNIFICANT","YES"
"ANXA2",2.06864337886423,10.6816170603675,8.54578500727705e-71,2.36456734340696e-70,19.8009947506336,149.939642013847,"UPREGULATED","SIGNIFICANT","YES"
"CUX1",2.05363181158125,12.3605188976378,3.60524704831394e-247,2.04348900326167e-245,50.7211159101983,555.753019136837,"UPREGULATED","SIGNIFICANT","YES"
"TGFBR2",1.81081835731535,10.433774015748,3.08893105825401e-104,1.12997970476598e-103,25.4818074346277,226.841708749967,"UPREGULATED","SIGNIFICANT","YES"
"VMP1",1.70815969699557,11.1101195538058,1.11013482375192e-136,5.54538080901135e-136,30.8803157163335,301.491489923649,"UPREGULATED","SIGNIFICANT","YES"
"CCDC177",-1.48994317774136,5.51084173228346,4.67379327240645e-24,7.97139804687478e-24,-10.4672001085418,42.728284982503,"DOWNREGULATED","SIGNIFICANT","YES"
"LINC01572",1.45302161255503,5.49515433070866,3.40956741416288e-59,8.50669849796194e-59,17.7283007593861,123.283085968468,"UPREGULATED","SIGNIFICANT","YES"
"RGS12",1.41903854647957,11.8987812335958,4.50790279565991e-129,2.07664283297868e-128,29.6111608296531,283.983218158685,"UPREGULATED","SIGNIFICANT","YES"
"LIMCH1",1.04851545617617,12.6913305774278,1.2448608478615e-58,3.09215251564716e-58,17.6255043175596,121.991181539196,"UPREGULATED","SIGNIFICANT","YES"
"RNF217",0.944840018792172,8.89197677165354,7.57430109921946e-73,2.1340521347991e-72,20.1598044956932,154.657124364828,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"PRR5-ARHGAP8",0.841238193932142,2.83994921259843,5.029691555198e-10,6.75360466447762e-10,6.29951054231771,10.8421637952707,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"ZNF860",-0.507722500912426,2.9978030183727,3.82511061451e-05,4.59113011928841e-05,-4.14203555932418,-0.0293796193897276,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"PTPRN2",0.492054977985197,12.2284211286089,1.69273958121596e-09,2.24798361747267e-09,6.09889866611022,9.65685123443849,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"RNF217-AS1",0.363525894375547,2.90406758530184,6.9666922421157e-07,8.72912430435588e-07,5.00406017489997,3.81061204351419,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"ARHGAP8",0.145249451377186,4.40186666666667,0.0981990597552188,0.105148755310447,1.65566439874339,-7.15133272326557,"NO SIGNIFICANT CHANGE","NOT SIGNIFICANT","NO"
"OSBPL10",0.0562039719825742,7.49216916010499,0.575403602634845,0.588557566886043,0.560351233005012,-8.36364265202992,"NO SIGNIFICANT CHANGE","NOT SIGNIFICANT","NO"
