"Gene","logFC","AveExpr","PValue","adj.P.Val","t","B","Regulation","Significance","Biologically_Relevant"
"NFIB",2.69290893948452,12.3878232283465,1.64314002411813e-261,1.94242167598182e-259,53.5999251078747,588.74749968916,"UPREGULATED","SIGNIFICANT","YES"
"SETBP1",2.33450534256893,10.0082274278215,1.91895434591165e-146,1.07425376788542e-145,32.5174543263387,323.956855567701,"UPREGULATED","SIGNIFICANT","YES"
"CDK2AP1",2.24837207964154,13.3871024934383,3.70101006276183e-252,2.6518959131313e-250,51.7124401860988,567.230581014041,"UPREGULATED","SIGNIFICANT","YES"
"FBXL16",-1.91799426372721,13.170280183727,2.6704674412835e-64,6.97665072952396e-64,-18.6509839686182,135.01394986607,"DOWNREGULATED","SIGNIFICANT","YES"
"PDE4B",1.88694736637753,12.0490380577428,1.0284139831473e-126,4.61442109319126e-126,29.2186621276179,278.556938321776,"UPREGULATED","SIGNIFICANT","YES"
"FOXK1",1.80782040814741,11.599156824147,5.32401649469578e-189,5.83089203768394e-188,39.8528339434828,421.896529426061,"UPREGULATED","SIGNIFICANT","YES"
"APC2",1.74620079983226,13.8523230971129,1.527499112205e-127,6.91505744716141e-127,29.3564688642771,280.462611872143,"UPREGULATED","SIGNIFICANT","YES"
"LINC01572",1.45302161255503,5.49515433070866,3.40956741416288e-59,8.50669849796194e-59,17.7283007593861,123.283085968468,"UPREGULATED","SIGNIFICANT","YES"
"OSTM1",1.4462918813142,10.1928700787402,1.42998896536485e-147,8.12958359969114e-147,32.7073670618175,326.552097374535,"UPREGULATED","SIGNIFICANT","YES"
"IGFBP7-AS1",1.43759992234637,4.95426640419948,1.69270938129827e-25,2.94048851925341e-25,10.8219442689069,46.0208550253458,"UPREGULATED","SIGNIFICANT","YES"
"SDK1",1.29399570420183,8.49369081364829,6.43035911497669e-55,1.5453309624435e-54,16.9402832214431,113.463194886275,"UPREGULATED","SIGNIFICANT","YES"
"C19orf25",1.16069132453776,10.6040893700787,6.52722239188419e-128,2.96639556451509e-127,29.4179233956201,281.312272936638,"UPREGULATED","SIGNIFICANT","YES"
"LIMCH1",1.04851545617617,12.6913305774278,1.2448608478615e-58,3.09215251564716e-58,17.6255043175596,121.991181539196,"UPREGULATED","SIGNIFICANT","YES"
"FBXL18",1.03275698533123,8.37892480314961,1.12695912328124e-38,2.29847913026366e-38,13.7628039421762,76.1885695173144,"UPREGULATED","SIGNIFICANT","YES"
"PRKCZ",-0.837868022239992,11.3508628608924,4.84817513195287e-22,8.02639685487767e-22,-9.9555723453146,38.1257195907656,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"LINC01558",0.625726581610066,1.90659553805774,3.64513390301974e-13,5.21486217308546e-13,7.39763147164562,17.9330098581518,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"ZFPM1",0.374412976696147,8.04293162729659,2.6423890501811e-12,3.7152175922599e-12,7.11106330441313,15.9860040309999,"NO SIGNIFICANT CHANGE","SIGNIFICANT","NO"
"ACOT7",0.109193988833409,11.1613258530184,0.171477067843226,0.181444859227677,1.36875418194068,-7.58429426344365,"NO SIGNIFICANT CHANGE","NOT SIGNIFICANT","NO"
"CHI3L1",-0.00753550867002646,10.1414577427822,0.972373209642919,0.974040373311403,-0.0346432778118324,-8.52015019497155,"NO SIGNIFICANT CHANGE","NOT SIGNIFICANT","NO"
